variant_id,card,variant,price,stock,image
47890716459243,Heavy Mech Support Platform (LCKC-EN022)  Ultra Rare,Near Mint - Unlimited,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161948.jpg?v=1772691623
47890716426475,Heavy Mech Support Armor (LCKC-EN023)  Ultra Rare,Near Mint - Unlimited,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161949.jpg?v=1772691617
47890716393707,Goddess of Sweet Revenge (LCKC-EN106)  Secret Rare,Near Mint - 1st Edition,2999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162032.jpg?v=1772691611
47890716360939,Giant Red Seasnake (LCKC-EN097)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162023.jpg?v=1772691605
47890716328171,Ghost Reaper & Winter Cherries (LCKC-EN079)  Ultra Rare,Near Mint - 1st Edition,1599.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162005.jpg?v=1772691599
47890716295403,Fusion Sage (LCKC-EN089)  Ultra Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162015.jpg?v=1772691593
47890716262635,Full Force Virus (LCKC-EN049)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161975.jpg?v=1772691587
47890716229867,Fiendish Chain (LCKC-EN095)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162021.jpg?v=1772691581
47890716197099,Fiend's Sanctuary (LCKC-EN030)  Secret Rare,Near Mint - 1st Edition,2499.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161956.jpg?v=1772691575
47890716164331,Exile of the Wicked (LCKC-EN100)  Ultra Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162026.jpg?v=1772691570
47890716131563,Eradicator Epidemic Virus (LCKC-EN048)  Ultra Rare,Near Mint - 1st Edition,2999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161974.jpg?v=1772691564
47890716098795,Enemy Controller (LCKC-EN032)  Secret Rare,Near Mint - 1st Edition,2499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161958.jpg?v=1772691559
47890716066027,Dragunity Phalanx (LCKC-EN086)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162012.jpg?v=1772691552
47890716000491,Dragunity Legionnaire (LCKC-EN085)  Ultra Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162011.jpg?v=1772691546
47890715967723,Dragunity Dux (LCKC-EN084)  Ultra Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162010.jpg?v=1772691540
47890715934955,Dragonic Tactics (LCKC-EN073)  Secret Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161999.jpg?v=1772691535
47890715902187,Dragon Spirit of White (LCKC-EN018)  Secret Rare,Near Mint - 1st Edition,5999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161944.jpg?v=1772691529
47890715869419,Dragon Revival Rhapsody (LCKC-EN109)  Secret Rare,Near Mint - Unlimited,1999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162035.jpg?v=1772691522
47890715836651,Dragon Ravine (LCKC-EN072)  Secret Rare,Near Mint - Unlimited,7999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161998.jpg?v=1772691517
47890715803883,Dragon Master Knight (LCKC-EN065)  Secret Rare,Near Mint - Unlimited,16999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161991.jpg?v=1772691511
47890715771115,Doom Virus Dragon (LCKC-EN064)  Ultra Rare,Near Mint - Unlimited,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161990.jpg?v=1772691505
47890715738347,Destruction Dragon (LCKC-EN108)  Secret Rare,Near Mint - 1st Edition,3499.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162034.jpg?v=1772691499
47890715705579,Deck Devastation Virus (LCKC-EN047)  Ultra Rare,Near Mint - 1st Edition,4999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161973.jpg?v=1772691493
47890715672811,De-Fusion (LCKC-EN044)  Secret Rare,Near Mint - 1st Edition,3999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161970.jpg?v=1772691487
47890715640043,Dark Armed Dragon (LCKC-EN068)  Secret Rare,Near Mint - 1st Edition,7999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161994.jpg?v=1772691481
47890715607275,Crush Card Virus (Version 2) (LCKC-EN046)  Ultra Rare,Near Mint - 1st Edition,4999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162086.jpg?v=1772691475
47890715574507,Crush Card Virus (Version 1) (LCKC-EN046)  Ultra Rare,Near Mint - 1st Edition,3999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161972.jpg?v=1772691470
